2025-01-12_15-33-35 | Marina | addition_1p2p3 | 130 |  | 15
2025-01-12_15-33-40 | Marina | addition_1p2p3 | 26 |  | 16
2025-01-12_15-33-56 | Marina | multiplication_par5 | 45 |  | 275
2025-01-12_15-34-06 | Marina | multiplication_par5 | 29 |  | 195
2025-01-12_15-34-14 | Marina | multiplication_par5 | 6 |  | 80
2025-01-12_15-34-19 | Marina | multiplication_par5 | 0 |  | 50
2025-01-12_15-34-28 | Marina | multiplication_par5 | 46 |  | 280
2025-01-12_15-34-42 | Marina | multiplication_par5 | 44 |  | 270
2025-01-12_15-34-51 | Marina | multiplication_par5 | 9 |  | 95
2025-01-12_15-35-01 | Marina | multiplication_par5 | 22 |  | 160
2025-01-12_15-35-08 | Marina | multiplication_par5 | 36 |  | 230
2025-01-12_15-35-16 | Marina | multiplication_par5 | 14 |  | 120
2025-01-12_15-35-31 | Marina | multiplication_par3 | 17 |  | 81
2025-01-12_15-35-36 | Marina | multiplication_par3 | 0 |  | 30
2025-01-12_15-35-48 | Marina | multiplication_par3 | 44 |  | 162
2025-01-12_15-35-55 | Marina | multiplication_par3 | 22 |  | 96
2025-01-12_15-36-01 | Marina | multiplication_par3 | 34 |  | 132
2025-01-12_15-36-11 | Marina | multiplication_par3 | 24 |  | 102
2025-01-12_15-36-18 | Marina | multiplication_par3 | 40 |  | 150
2025-01-12_15-36-24 | Marina | multiplication_par3 | 13 |  | 69
2025-01-12_15-36-29 | Marina | multiplication_par3 | 13 |  | 69
2025-01-12_15-36-45 | Marina | multiplication_par3 | 17 |  | 81
2025-01-12_16-01-10 | Diso | addition_3ch_hor | 0 | 1+1+6=8 | 11
2025-01-12_16-01-15 | Marina | addition_3ch_hor | 0 | 1+1+6=8 | 8
2025-01-12_16-01-25 | Marina | addition_3ch_hor | 1 | 3+1+0=4 | 4
2025-01-12_16-01-30 | Marina | addition_3ch_hor | 2 | 1+6+4=11 | 11
2025-01-12_16-01-34 | Marina | addition_3ch_hor | 3 | 0+8+2=10 | 10
2025-01-12_16-01-40 | Marina | addition_3ch_hor | 4 | 7+1+3=11 | 11
2025-01-12_16-04-32 | Marina | addition_3ch_hor | 0 | 0+7+6=13 | 13
2025-01-12_16-04-56 | Marina | addition_3ch_hor | 1 | 8+8+9=25 | 25
2025-01-12_16-05-18 | Marina | addition_3ch_hor | 2 | 4+2+7=13 | 13
2025-01-12_16-05-34 | Marina | addition_3ch_hor | 3 | 6+4+9=19 | 19
2025-01-12_16-06-06 | Marina | addition_3ch_hor | 4 | 1+3+7=11 | 11
2025-01-14_21-11-19 | Marina | addition_2ch_ver | 0 | 0+5=5 | 5
2025-01-14_21-11-25 | Marina | addition_2ch_ver | 1 | 4+8=12 | 12
2025-01-14_21-17-16 | Marina | addition_2ch_ver | 0 | 0+0=0 | 0
2025-01-14_21-17-20 | Marina | addition_2ch_ver | 1 | 0+0=0 | 0
2025-01-14_21-18-47 | Marina | addition_2ch_ver | 0 | 62+8=70 | 70
2025-01-14_21-20-14 | Marina | addition_2ch_ver | 1 | 27+29=56 | 56
2025-01-14_21-20-18 | Diso | addition_2ch_ver | 2 | 12+19=31 | ER
2025-01-17_12-58-38 | Marina | dict_mg_v2 | 10 |  | tsaramaso
2025-01-17_12-59-10 | Marina | dict_mg_v2 | 2 |  | vilany
2025-01-17_12-59-37 | Marina | dict_mg_v2 | 12 |  | anana
2025-01-17_12-59-57 | Marina | dict_mg_v2 | 20 |  | rano
2025-01-17_13-00-03 | Marina | dict_mg_v2 | 8 |  | atody
2025-01-17_13-00-11 | Marina | vola_moins_isa1 | 14 |  | 1900
2025-01-17_13-00-19 | Marina | vola_moins_isa1 | 25 |  | 4800
2025-01-17_13-00-25 | Marina | vola_moins_isa1 | 8 |  | 600
2025-01-17_13-00-56 | Marina | vola_moins_isa1 | 17 |  | 1600
2025-01-17_13-01-38 | Marina | vola_moins_isa1 | 30 |  | 4300
2025-01-17_13-01-45 | Marina | Addition_vola_1 | 2 |  | 600
2025-01-17_13-01-57 | Marina | Addition_vola_1 | 32 |  | 5500
2025-01-17_13-02-03 | Marina | Addition_vola_1 | 0 |  | 200
2025-01-17_13-02-11 | Marina | Addition_vola_1 | 29 |  | 7000
2025-01-17_13-02-25 | Marina | Addition_vola_1 | 11 |  | 5200
2025-01-17_13-02-40 | Marina | addition_1p2p3 | 263 |  | 19
2025-01-17_13-02-47 | Marina | addition_1p2p3 | 79 |  | 18
2025-01-17_13-02-54 | Marina | addition_1p2p3 | 246 |  | 20
2025-01-17_13-03-05 | Marina | addition_1p2p3 | 260 |  | 16
2025-01-17_13-03-14 | Marina | addition_1p2p3 | 73 |  | 12
2025-01-17_13-03-42 | Marina | adittion_b2 | 242 |  | 921
2025-01-17_13-03-52 | Marina | adittion_b2 | 45 |  | 175
2025-01-17_13-04-03 | Marina | adittion_b2 | 48 |  | 714
